No,Tahun,Provinsi,Kode Provinsi,IKP,Kelompok IKP,Kerentanan Area
159,2023,KALIMANTAN TIMUR,64,79.29,6,Sangat Tahan
160,2023,KALIMANTAN UTARA,65,74.59,6,Sangat Tahan
161,2023,SULAWESI UTARA,71,77.32,6,Sangat Tahan
162,2023,SULAWESI TENGAH,72,75.83,6,Sangat Tahan
163,2023,SULAWESI SELATAN,73,83.36,6,Sangat Tahan
164,2023,SULAWESI TENGGARA,74,74.96,6,Sangat Tahan
165,2023,GORONTALO,75,81.63,6,Sangat Tahan
166,2023,SULAWESI BARAT,76,73.03,5,Tahan
167,2023,MALUKU,81,64.37,4,Agak Tahan
168,2023,MALUKU UTARA,82,62.34,4,Agak Tahan
169,2023,PAPUA BARAT,91,47.95,2,Rentan
170,2023,PAPUA,94,42.27,2,Rentan
171,2024,ACEH,11,73.94,5,Tahan
172,2024,SUMATERA UTARA,12,77.49,6,Sangat Tahan
173,2024,SUMATERA BARAT,13,84.32,6,Sangat Tahan
174,2024,RIAU,14,70.42,5,Tahan
175,2024,JAMBI,15,74.94,6,Sangat Tahan
176,2024,SUMATERA SELATAN,16,74.07,5,Tahan
177,2024,BENGKULU,17,73.39,5,Tahan
178,2024,LAMPUNG,18,82.58,6,Sangat Tahan
179,2024,KEPULAUAN BANGKA BELITUNG,19,70.21,5,Tahan
180,2024,KEPULAUAN RIAU,21,66.29,5,Tahan
181,2024,DKI JAKARTA,31,85.13,6,Sangat Tahan
182,2024,JAWA BARAT,32,82.97,6,Sangat Tahan
183,2024,JAWA TENGAH,33,85.34,6,Sangat Tahan
184,2024,DI YOGYAKARTA,34,84.15,6,Sangat Tahan
185,2024,JAWA TIMUR,35,83.86,6,Sangat Tahan
186,2024,BANTEN,36,79.25,6,Sangat Tahan
187,2024,BALI,51,88.23,6,Sangat Tahan
188,2024,NUSA TENGGARA BARAT,52,78.44,6,Sangat Tahan
189,2024,NUSA TENGGARA TIMUR,53,70.91,5,Tahan
190,2024,KALIMANTAN BARAT,61,73.49,5,Tahan
191,2024,KALIMANTAN TENGAH,62,70.16,5,Tahan
192,2024,KALIMANTAN SELATAN,63,82.95,6,Sangat Tahan
193,2024,KALIMANTAN TIMUR,64,78.61,6,Sangat Tahan
194,2024,KALIMANTAN UTARA,65,75.77,6,Sangat Tahan
195,2024,SULAWESI UTARA,71,76.32,6,Sangat Tahan
196,2024,SULAWESI TENGAH,72,76.87,6,Sangat Tahan
197,2024,SULAWESI SELATAN,73,83.82,6,Sangat Tahan
198,2024,SULAWESI TENGGARA,74,76.68,6,Sangat Tahan
199,2024,GORONTALO,75,81.47,6,Sangat Tahan
200,2024,SULAWESI BARAT,76,71.99,5,Tahan
201,2024,MALUKU,81,62.68,4,Agak Tahan
202,2024,MALUKU UTARA,82,61.44,4,Agak Tahan
203,2024,PAPUA BARAT,91,51.36,3,Agak Rentan
204,2024,PAPUA,94,40.21,2,Rentan
